ItemCode,Description,Unit,Quantity,UnitPrice,TotalPrice
ITEM0001,Construction work item ITEM0001,m2,186.99,290.43,54307.51
ITEM0002,Construction work item ITEM0002,kg,203.77,304.0,61946.08
ITEM0003,Construction work item ITEM0003,m2,87.36,907.02,79237.27
ITEM0004,Construction work item ITEM0004,m2,183.83,566.33,104108.44
ITEM0005,Construction work item ITEM0005,m,29.69,889.56,26411.04
ITEM0006,Construction work item ITEM0006,hr,160.31,185.12,29676.59
ITEM0007,Construction work item ITEM0007,pcs,175.82,169.35,29775.12
ITEM0008,Construction work item ITEM0008,pcs,3.79,323.95,1227.77
ITEM0009,Construction work item ITEM0009,hr,81.03,551.07,44653.2
ITEM0010,Construction work item ITEM0010,m,160.91,657.71,105832.12
ITEM0011,Construction work item ITEM0011,kg,175.85,59.59,10478.9
ITEM0012,Construction work item ITEM0012,kg,142.42,975.91,138989.1
ITEM0013,Construction work item ITEM0013,m2,32.55,839.51,27326.05
ITEM0014,Construction work item ITEM0014,hr,5.32,851.53,4530.14
ITEM0015,Construction work item ITEM0015,pcs,0.99,794.75,786.8
ITEM0016,Construction work item ITEM0016,kg,214.54,585.3,125570.26
ITEM0017,Construction work item ITEM0017,m,35.41,346.81,12280.54
ITEM0018,Construction work item ITEM0018,hr,94.52,645.92,61052.36
ITEM0019,Construction work item ITEM0019,m,158.1,512.62,81045.22
ITEM0020,Construction work item ITEM0020,kg,153.96,186.63,28733.55
ITEM0021,Construction work item ITEM0021,pcs,168.06,36.37,6112.34
ITEM0022,Construction work item ITEM0022,kg,195.59,20.55,4019.37
ITEM0023,Construction work item ITEM0023,hr,144.54,406.0,58683.24
ITEM0024,Construction work item ITEM0024,kg,179.03,820.85,146956.78
ITEM0025,Construction work item ITEM0025,pcs,108.01,614.13,66332.18
ITEM0026,Construction work item ITEM0026,m,49.32,230.68,11377.14
ITEM0027,Construction work item ITEM0027,m,120.45,814.74,98135.43
ITEM0028,Construction work item ITEM0028,hr,99.79,604.11,60284.14
ITEM0029,Construction work item ITEM0029,pcs,37.01,251.24,9298.39
ITEM0030,Construction work item ITEM0030,hr,13.11,738.88,9686.72
ITEM0031,Construction work item ITEM0031,m2,232.98,422.71,98482.98
ITEM0032,Construction work item ITEM0032,kg,40.9,221.24,9048.72
ITEM0033,Construction work item ITEM0033,pcs,170.93,240.51,41110.37
ITEM0034,Construction work item ITEM0034,kg,99.71,411.04,40984.8
ITEM0035,Construction work item ITEM0035,kg,163.49,625.21,102215.58
ITEM0036,Construction work item ITEM0036,m2,171.87,61.17,10513.29
ITEM0037,Construction work item ITEM0037,m2,153.46,429.0,65834.34
ITEM0038,Construction work item ITEM0038,m2,204.77,543.74,111341.64
ITEM0039,Construction work item ITEM0039,m2,213.49,91.34,19500.18
ITEM0040,Construction work item ITEM0040,m,88.4,655.12,57912.61
ITEM0041,Construction work item ITEM0041,m,33.22,167.14,5552.39
ITEM0042,Construction work item ITEM0042,m,193.92,928.88,180128.41
ITEM0043,Construction work item ITEM0043,m2,130.61,288.01,37616.99
ITEM0044,Construction work item ITEM0044,m2,101.31,412.71,41811.65
ITEM0045,Construction work item ITEM0045,m2,38.87,672.02,26121.42
ITEM0046,Construction work item ITEM0046,m2,126.97,129.15,16398.18
ITEM0047,Construction work item ITEM0047,hr,65.38,41.55,2716.54
ITEM0048,Construction work item ITEM0048,m,115.06,666.28,76662.18
ITEM0049,Construction work item ITEM0049,pcs,38.23,521.93,19953.38
ITEM0050,Construction work item ITEM0050,m2,170.51,909.07,155005.53
ITEM0051,Construction work item ITEM0051,pcs,197.28,639.79,126217.77
ITEM0052,Construction work item ITEM0052,pcs,161.33,918.15,148125.14
ITEM0053,Construction work item ITEM0053,m2,49.18,89.12,4382.92
ITEM0054,Construction work item ITEM0054,hr,14.06,904.34,12715.02
ITEM0055,Construction work item ITEM0055,kg,130.67,300.02,39203.61
ITEM0056,Construction work item ITEM0056,m,222.68,501.47,111667.34
ITEM0057,Construction work item ITEM0057,kg,188.86,12.91,2438.18
ITEM0058,Construction work item ITEM0058,m,203.19,219.95,44691.64
ITEM0059,Construction work item ITEM0059,hr,12.81,728.0,9325.68
ITEM0060,Construction work item ITEM0060,kg,163.63,944.58,154561.63
ITEM0061,Construction work item ITEM0061,m,168.79,566.81,95671.86
ITEM0062,Construction work item ITEM0062,kg,45.59,402.33,18342.22
ITEM0063,Construction work item ITEM0063,hr,161.2,206.65,33311.98
ITEM0064,Construction work item ITEM0064,pcs,127.63,432.42,55189.76
ITEM0065,Construction work item ITEM0065,m2,208.1,576.0,119865.6
ITEM0066,Construction work item ITEM0066,pcs,180.57,295.32,53325.93
ITEM0067,Construction work item ITEM0067,hr,197.46,296.36,58519.25
ITEM0068,Construction work item ITEM0068,m,105.32,359.42,37854.11
ITEM0069,Construction work item ITEM0069,kg,194.93,354.67,69135.82
ITEM0070,Construction work item ITEM0070,m,2.67,480.08,1281.81
ITEM0071,Construction work item ITEM0071,m,99.36,74.71,7423.19
ITEM0072,Construction work item ITEM0072,m2,148.96,759.27,113100.86
ITEM0073,Construction work item ITEM0073,kg,132.42,213.22,28234.59
ITEM0074,Construction work item ITEM0074,m,246.22,116.15,28598.45
ITEM0075,Construction work item ITEM0075,hr,52.24,156.02,8150.48
ITEM0076,Construction work item ITEM0076,kg,3.09,442.9,1368.56
ITEM0078,Construction work item ITEM0078,m,223.54,704.23,157423.57
ITEM0079,Construction work item ITEM0079,pcs,96.98,20.45,1983.24
ITEM0080,Construction work item ITEM0080,pcs,76.38,629.97,48117.11
ITEM0081,Construction work item ITEM0081,hr,130.75,223.07,29166.4
ITEM0082,Construction work item ITEM0082,m2,184.6,567.7,104797.42
ITEM0083,Construction work item ITEM0083,m,33.51,310.61,10408.54
ITEM0084,Construction work item ITEM0084,m,220.66,534.96,118044.27
ITEM0085,Construction work item ITEM0085,pcs,70.75,208.2,14730.15
ITEM0086,Construction work item ITEM0086,hr,198.9,56.36,11210.0
ITEM0087,Construction work item ITEM0087,hr,141.04,380.27,53633.28
ITEM0088,Construction work item ITEM0088,kg,59.81,693.44,41474.65
ITEM0089,Construction work item ITEM0089,kg,4.33,176.5,764.24
ITEM0090,Construction work item ITEM0090,m2,124.97,349.09,43625.78
ITEM0091,Construction work item ITEM0091,m,56.2,588.88,33095.06
ITEM0092,Construction work item ITEM0092,hr,69.02,106.06,7320.26
ITEM0093,Construction work item ITEM0093,hr,78.05,547.44,42727.69
ITEM0094,Construction work item ITEM0094,m2,76.16,542.95,41351.07
ITEM0095,Construction work item ITEM0095,m2,225.31,995.21,224230.77
ITEM0096,Construction work item ITEM0096,m,22.42,729.62,16358.08
ITEM0097,Construction work item ITEM0097,kg,196.85,478.16,94125.8
ITEM0098,Construction work item ITEM0098,kg,60.19,392.0,23594.48
ITEM0099,Construction work item ITEM0099,pcs,62.97,902.88,56854.35
ITEM0100,Construction work item ITEM0100,m,34.93,743.04,25954.39
ITEM0101,Construction work item ITEM0101,m,79.13,893.85,70730.35
ITEM0102,Construction work item ITEM0102,kg,62.32,658.71,41050.81
ITEM0103,Construction work item ITEM0103,m2,33.58,117.4,3942.29
ITEM0104,Construction work item ITEM0104,m2,12.03,300.13,3610.56
ITEM0105,Construction work item ITEM0105,m,100.5,275.38,27675.69
ITEM0106,Construction work item ITEM0106,m,171.14,518.63,88758.34
ITEM0107,Construction work item ITEM0107,hr,230.75,885.7,204375.28
ITEM0108,Construction work item ITEM0108,m,94.81,455.5,43185.96
ITEM0109,Construction work item ITEM0109,hr,187.33,612.56,114750.86
ITEM0110,Construction work item ITEM0110,m2,228.77,718.89,164460.47
ITEM0111,Construction work item ITEM0111,hr,129.53,10.66,1380.79
ITEM0112,Construction work item ITEM0112,hr,41.4,385.25,15949.35
ITEM0113,Construction work item ITEM0113,hr,22.46,1033.92,23221.84
ITEM0114,Construction work item ITEM0114,kg,95.54,91.29,8721.85
ITEM0115,Construction work item ITEM0115,m,114.55,620.09,71031.31
ITEM0116,Construction work item ITEM0116,kg,115.61,513.59,59376.14
ITEM0117,Construction work item ITEM0117,hr,90.4,732.22,66192.69
ITEM0118,Construction work item ITEM0118,pcs,51.32,178.66,9168.83
ITEM0119,Construction work item ITEM0119,pcs,163.04,484.98,79071.14
ITEM0120,Construction work item ITEM0120,kg,39.97,451.65,18052.45
ITEM0121,Construction work item ITEM0121,hr,134.13,774.9,103937.34
ITEM0122,Construction work item ITEM0122,pcs,17.54,904.58,15866.33
ITEM0123,Construction work item ITEM0123,pcs,104.9,346.83,36382.47
ITEM0124,Construction work item ITEM0124,hr,12.38,528.44,6542.09
ITEM0125,Construction work item ITEM0125,m,197.08,659.77,130027.47
ITEM0126,Construction work item ITEM0126,m2,232.48,451.7,105011.22
ITEM0127,Construction work item ITEM0127,m2,85.06,637.94,54263.18
ITEM0128,Construction work item ITEM0128,kg,162.28,912.72,148116.2
ITEM0129,Construction work item ITEM0129,kg,97.46,228.78,22296.9
ITEM0130,Construction work item ITEM0130,m,225.69,411.57,92887.23
ITEM0131,Construction work item ITEM0131,kg,191.88,249.96,47962.32
ITEM0132,Construction work item ITEM0132,kg,67.39,305.88,20613.25
ITEM0133,Construction work item ITEM0133,m2,109.15,368.2,40189.03
ITEM0134,Construction work item ITEM0134,m2,198.27,39.98,7926.83
ITEM0135,Construction work item ITEM0135,m2,228.2,368.72,84141.9
ITEM0136,Construction work item ITEM0136,kg,76.39,545.36,41660.05
ITEM0137,Construction work item ITEM0137,kg,88.3,972.99,85915.02
ITEM0138,Construction work item ITEM0138,pcs,47.95,810.5,38863.48
ITEM0139,Construction work item ITEM0139,m2,41.74,686.97,28674.13
ITEM0140,Construction work item ITEM0140,pcs,237.16,370.92,87967.39
ITEM0141,Construction work item ITEM0141,m,81.7,784.18,64067.51
ITEM0142,Construction work item ITEM0142,kg,146.86,278.34,40877.01
ITEM0143,Construction work item ITEM0143,pcs,36.46,795.63,29008.67
ITEM0144,Construction work item ITEM0144,m2,213.55,333.9,71304.34
ITEM0145,Construction work item ITEM0145,m,102.17,555.47,56752.37
ITEM0146,Construction work item ITEM0146,m,204.83,172.83,35400.77
ITEM0147,Construction work item ITEM0147,m,135.8,35.69,4846.7
ITEM0148,Construction work item ITEM0148,m2,11.55,619.31,7153.03
ITEM0150,Construction work item ITEM0150,m,245.09,658.66,161430.98
ITEM0151,Construction work item ITEM0151,kg,210.33,449.75,94595.92
ITEM0152,Construction work item ITEM0152,m,198.75,256.76,51031.05
ITEM0153,Construction work item ITEM0153,pcs,185.02,357.25,66098.4
ITEM0154,Construction work item ITEM0154,m,189.25,597.69,113112.83
ITEM0155,Construction work item ITEM0155,hr,206.74,261.12,53983.95
ITEM0156,Construction work item ITEM0156,m,186.89,607.43,113522.59
ITEM0157,Construction work item ITEM0157,pcs,222.55,692.97,154220.47
ITEM0158,Construction work item ITEM0158,m2,177.96,365.64,65069.29
ITEM0159,Construction work item ITEM0159,pcs,90.59,425.16,38515.24
ITEM0160,Construction work item ITEM0160,pcs,44.66,29.09,1299.16
ITEM0161,Construction work item ITEM0161,hr,236.64,921.36,218030.63
ITEM0162,Construction work item ITEM0162,hr,179.41,76.82,13782.28
ITEM0163,Construction work item ITEM0163,hr,95.12,777.6,73965.31
ITEM0164,Construction work item ITEM0164,pcs,230.11,370.52,85260.36
ITEM0165,Construction work item ITEM0165,kg,159.74,440.56,70375.05
ITEM0166,Construction work item ITEM0166,kg,220.33,165.47,36458.01
ITEM0167,Construction work item ITEM0167,kg,27.64,479.55,13254.76
ITEM0168,Construction work item ITEM0168,kg,77.57,403.97,31335.95
ITEM0169,Construction work item ITEM0169,m2,81.1,258.18,20938.4
ITEM0170,Construction work item ITEM0170,pcs,153.65,709.29,108982.41
ITEM0171,Construction work item ITEM0171,hr,79.58,175.08,13932.87
ITEM0172,Construction work item ITEM0172,hr,160.22,128.62,20607.5
ITEM0173,Construction work item ITEM0173,pcs,234.46,338.04,79256.86
ITEM0174,Construction work item ITEM0174,m,122.55,829.11,101607.43
ITEM0175,Construction work item ITEM0175,m,222.84,593.42,132237.71
ITEM0176,Construction work item ITEM0176,hr,15.53,504.95,7841.87
ITEM0177,Construction work item ITEM0177,pcs,223.74,827.37,185115.76
ITEM0178,Construction work item ITEM0178,m2,198.4,209.53,41570.75
ITEM0179,Construction work item ITEM0179,m2,153.23,215.06,32953.64
ITEM0180,Construction work item ITEM0180,hr,98.09,96.24,9440.18
ITEM0181,Construction work item ITEM0181,m,178.49,467.64,83469.06
ITEM0182,Construction work item ITEM0182,pcs,130.01,744.22,96756.04
ITEM0183,Construction work item ITEM0183,hr,48.23,428.36,20659.8
ITEM0184,Construction work item ITEM0184,kg,22.77,240.92,5485.75
ITEM0185,Construction work item ITEM0185,hr,18.9,652.96,12340.94
ITEM0186,Construction work item ITEM0186,m,26.68,700.54,18690.41
ITEM0187,Construction work item ITEM0187,pcs,90.27,156.33,14111.91
ITEM0188,Construction work item ITEM0188,m,31.6,375.55,11867.38
ITEM0189,Construction work item ITEM0189,pcs,189.09,291.43,55106.5
ITEM0190,Construction work item ITEM0190,hr,119.05,67.25,8006.11
ITEM0191,Construction work item ITEM0191,m,240.41,308.27,74111.19
ITEM0192,Construction work item ITEM0192,kg,78.19,331.14,25891.84
ITEM0193,Construction work item ITEM0193,m2,8.58,685.37,5880.47
ITEM0194,Construction work item ITEM0194,kg,227.74,463.95,105659.97
ITEM0195,Construction work item ITEM0195,kg,133.2,149.6,19926.72
ITEM0196,Construction work item ITEM0196,kg,43.09,213.87,9215.66
ITEM0197,Construction work item ITEM0197,kg,25.87,139.33,3604.47
ITEM0198,Construction work item ITEM0198,pcs,150.75,292.83,44144.12
ITEM0199,Construction work item ITEM0199,pcs,43.06,511.0,22003.66
ITEM0200,Construction work item ITEM0200,kg,83.89,480.44,40304.11
ITEM0201,Construction work item ITEM0201,m,160.5,279.51,44861.36
ITEM0202,Construction work item ITEM0202,m2,101.14,917.69,92815.17
ITEM0203,Construction work item ITEM0203,hr,206.27,528.57,109028.13
ITEM0204,Construction work item ITEM0204,m2,168.21,381.37,64150.25
ITEM0205,Construction work item ITEM0205,pcs,145.82,307.73,44873.19
ITEM0206,Construction work item ITEM0206,m,55.6,480.88,26736.93
ITEM0207,Construction work item ITEM0207,m2,41.54,260.7,10829.48
ITEM0208,Construction work item ITEM0208,m,17.3,722.8,12504.44
ITEM0209,Construction work item ITEM0209,kg,198.4,270.02,53571.97
ITEM0210,Construction work item ITEM0210,m2,84.54,192.21,16249.43
ITEM0211,Construction work item ITEM0211,pcs,170.83,427.28,72992.24
ITEM0212,Construction work item ITEM0212,m2,174.53,651.86,113769.13
ITEM0213,Construction work item ITEM0213,pcs,227.66,169.41,38567.88
ITEM0214,Construction work item ITEM0214,m,119.97,386.25,46338.41
ITEM0215,Construction work item ITEM0215,hr,183.7,454.4,83473.28
ITEM0216,Construction work item ITEM0216,kg,44.27,191.45,8475.49
ITEM0217,Construction work item ITEM0217,m,65.72,374.62,24620.03
ITEM0218,Construction work item ITEM0218,m2,227.97,782.67,178425.28
ITEM0219,Construction work item ITEM0219,hr,82.68,545.36,45090.36
ITEM0220,Construction work item ITEM0220,pcs,215.77,916.54,197761.84
ITEM0221,Construction work item ITEM0221,pcs,89.7,700.46,62831.26
ITEM0222,Construction work item ITEM0222,m,82.62,327.7,27074.57
ITEM0223,Construction work item ITEM0223,pcs,224.57,327.8,73614.05
ITEM0224,Construction work item ITEM0224,hr,56.37,817.42,46077.97
ITEM0225,Construction work item ITEM0225,kg,226.98,723.94,164319.9
ITEM0226,Construction work item ITEM0226,hr,175.71,129.6,22772.02
ITEM0227,Construction work item ITEM0227,hr,69.34,588.28,40791.34
ITEM0228,Construction work item ITEM0228,m2,62.2,394.28,24524.22
ITEM0229,Construction work item ITEM0229,pcs,55.17,380.69,21002.67
ITEM0230,Construction work item ITEM0230,m,218.19,185.97,40576.79
ITEM0231,Construction work item ITEM0231,pcs,114.1,903.24,103059.68
ITEM0232,Construction work item ITEM0232,hr,98.62,536.91,52950.06
ITEM0233,Construction work item ITEM0233,m,210.81,295.07,62203.71
ITEM0234,Construction work item ITEM0234,hr,113.67,632.13,71854.22
ITEM0235,Construction work item ITEM0235,pcs,78.87,845.95,66720.08
ITEM0236,Construction work item ITEM0236,hr,146.51,493.35,72280.71
ITEM0238,Construction work item ITEM0238,m2,36.84,869.39,32028.33
ITEM0239,Construction work item ITEM0239,m,48.47,937.09,45420.75
ITEM0240,Construction work item ITEM0240,m,99.9,844.3,84345.57
ITEM0241,Construction work item ITEM0241,kg,95.17,795.77,75733.43
ITEM0242,Construction work item ITEM0242,m,205.92,396.32,81610.21
ITEM0243,Construction work item ITEM0243,m2,204.13,147.35,30078.56
ITEM0244,Construction work item ITEM0244,kg,40.71,462.07,18810.87
ITEM0245,Construction work item ITEM0245,hr,222.38,546.99,121639.64
ITEM0246,Construction work item ITEM0246,pcs,199.42,742.64,148097.27
ITEM0247,Construction work item ITEM0247,hr,17.38,830.03,14425.92
ITEM0248,Construction work item ITEM0248,pcs,218.66,936.28,204726.98
ITEM0249,Construction work item ITEM0249,pcs,104.11,102.01,10620.26
ITEM0250,Construction work item ITEM0250,m2,2.23,279.22,622.66
ITEM0251,Construction work item ITEM0251,m2,83.27,432.57,36020.1
ITEM0254,Construction work item ITEM0254,m2,205.0,96.32,19745.6
ITEM0255,Construction work item ITEM0255,pcs,206.82,654.25,135311.98
ITEM0256,Construction work item ITEM0256,m2,210.75,644.3,135786.22
ITEM0257,Construction work item ITEM0257,hr,31.82,365.95,11644.53
ITEM0258,Construction work item ITEM0258,hr,104.45,557.91,58273.7
ITEM0259,Construction work item ITEM0259,hr,62.95,267.87,16862.42
ITEM0260,Construction work item ITEM0260,kg,58.9,543.17,31992.71
ITEM0261,Construction work item ITEM0261,pcs,217.89,468.55,102092.36
ITEM0262,Construction work item ITEM0262,hr,131.34,80.07,10516.39
