ItemCode,Description,Unit,Quantity,UnitPrice,TotalPrice
ITEM0001,Construction work item ITEM0001,m2,194.05,297.19,57669.72
ITEM0002,Construction work item ITEM0002,kg,213.15,283.87,60506.89
ITEM0003,Construction work item ITEM0003,m2,95.2,858.93,81770.14
ITEM0004,Construction work item ITEM0004,m2,198.49,586.92,116497.75
ITEM0005,Construction work item ITEM0005,m,31.93,834.31,26639.52
ITEM0006,Construction work item ITEM0006,hr,164.12,168.94,27726.43
ITEM0007,Construction work item ITEM0007,pcs,179.79,149.75,26923.55
ITEM0008,Construction work item ITEM0008,pcs,3.71,320.8,1190.17
ITEM0009,Construction work item ITEM0009,hr,86.06,480.56,41356.99
ITEM0010,Construction work item ITEM0010,m,169.04,648.55,109630.89
ITEM0011,Construction work item ITEM0011,kg,187.27,56.59,10597.61
ITEM0012,Construction work item ITEM0012,kg,151.97,874.35,132874.97
ITEM0013,Construction work item ITEM0013,m2,32.5,785.41,25525.82
ITEM0014,Construction work item ITEM0014,hr,5.65,818.3,4623.4
ITEM0015,Construction work item ITEM0015,pcs,1.06,791.0,838.46
ITEM0016,Construction work item ITEM0016,kg,222.72,568.75,126672.0
ITEM0017,Construction work item ITEM0017,m,34.47,345.88,11922.48
ITEM0018,Construction work item ITEM0018,hr,94.69,599.89,56803.58
ITEM0019,Construction work item ITEM0019,m,162.26,480.06,77894.54
ITEM0020,Construction work item ITEM0020,kg,151.84,199.66,30316.37
ITEM0021,Construction work item ITEM0021,pcs,176.77,32.81,5799.82
ITEM0022,Construction work item ITEM0022,kg,194.78,19.18,3735.88
ITEM0023,Construction work item ITEM0023,hr,145.33,390.65,56773.16
ITEM0024,Construction work item ITEM0024,kg,180.75,751.98,135920.38
ITEM0025,Construction work item ITEM0025,pcs,111.96,561.06,62816.28
ITEM0026,Construction work item ITEM0026,m,50.42,213.75,10777.28
ITEM0027,Construction work item ITEM0027,m,123.38,744.53,91860.11
ITEM0028,Construction work item ITEM0028,hr,103.16,561.42,57916.09
ITEM0029,Construction work item ITEM0029,pcs,36.04,234.17,8439.49
ITEM0030,Construction work item ITEM0030,hr,13.21,720.96,9523.88
ITEM0031,Construction work item ITEM0031,m2,236.93,431.22,102168.95
ITEM0032,Construction work item ITEM0032,kg,43.3,193.47,8377.25
ITEM0033,Construction work item ITEM0033,pcs,175.0,229.77,40209.75
ITEM0034,Construction work item ITEM0034,kg,104.09,389.08,40499.34
ITEM0035,Construction work item ITEM0035,kg,167.11,595.13,99452.17
ITEM0036,Construction work item ITEM0036,m2,174.25,61.54,10723.34
ITEM0037,Construction work item ITEM0037,m2,155.76,366.17,57034.64
ITEM0038,Construction work item ITEM0038,m2,218.7,515.38,112713.61
ITEM0039,Construction work item ITEM0039,m2,219.35,94.5,20728.58
ITEM0040,Construction work item ITEM0040,m,91.48,592.7,54220.2
ITEM0041,Construction work item ITEM0041,m,34.57,151.59,5240.47
ITEM0042,Construction work item ITEM0042,m,203.5,874.72,178005.52
ITEM0043,Construction work item ITEM0043,m2,129.26,264.44,34181.51
ITEM0044,Construction work item ITEM0044,m2,104.03,445.15,46308.95
ITEM0045,Construction work item ITEM0045,m2,39.29,636.12,24993.15
